0 -
0 - 该视频【0：01-0：14】内容涉及不适宜内容，不予审核通过。如有疑问请通过稿件申诉进行反馈
0 - 该视频内容【0：01-0：13】涉及不适宜内容，不予审核通过。如有疑问请通过稿件申诉进行反馈。
0 - 转码失败：该文件格式无法被识别，请检查是否上传了错误文件并尝试重新上传
0 - 转码失败：该视频中视频或音频总时长有异常，请检查音视频数据并重新压制上传
0 - 转码失败：该视频数据有误，请检查并修复视频数据后重新上传
120011 - 您的视频中含VPN相关内容，根据相关法律法规政策，现将您的稿件予以锁定
1270016 - 该视频内容【00:00:03-00:00:07】涉及不适宜内容，不予审核通过，请及时修改。如有疑问请通过稿件申诉进行反馈
1270016 - 该视频内容【00:04:42-00:05:10】涉及不适宜内容，不予审核通过，请及时修改。如有疑问请通过稿件申诉进行反馈
1270016 - 该视频内容【00:06:45-00:06:47】涉及不适宜内容，不予审核通过，请及时修改。如有疑问请通过稿件申诉进行反馈
1270016 - 该视频内容【00:50:10-00:51:12】涉及不适宜内容，不予审核通过，请及时修改。如有疑问请通过稿件申诉进行反馈
1270016 - 该视频内容【P-1(00:00:39-00:00:44)】涉及不适宜内容，请及时修改
1270016 - 该视频内容【P-1(00:02:13-00:02:16,00:02:22-00:02:22,00:03:55-00:03:59,00:18:46-00:18:46,00:20:55-00:20:56,00:21:00-00:21:00,00:24:21-00:24:21,00:24:47-00:24:51,00:24:52-00:24:56,00:24:57-00:25:00)】涉及不适宜内容，请及时修改
1270016 - 该视频内容【P-1(00:06:27-00:06:37)】涉及不适宜内容，请及时修改
1270016 - 该视频内容涉及不适宜内容，不予审核通过，请及时修改。如有疑问请通过稿件申诉进行反馈
1270022 - 您的视频中【 49:01-50:13】涉及不良风气和价值观内容，请及时修改
1450014 - 您的视频中【P-1(00:00:00-00:07:11,00:27:07-00:35:45)】含有广告内容，请及时修改
1450014 - 您的视频中【P-1(00:01:36-00:17:43)】含有广告内容，请及时修改
1540002 - （封面）含有不适宜词条，请修改。如有疑问请通过稿件申诉进行反馈
1600002 - 您的视频中【30：31-35：37】含有不合规的素材（影视、歌曲、人物、游戏等），请及时修改
1600002 - 您的视频中含有不适宜展示的素材（影视、歌曲、人物、游戏等），予以打回，请及时修改
1600002 - 您的视频中含有不适宜展示的素材（影视、歌曲、人物、游戏等），请及时修改
1630004 - 根据相关法律法规政策，您的视频中含有非法工具（如VPN、电脑病毒、非法软件、非法网站等）相关内容，请及时修改
1630004 - 根据相关法律法规政策，您的视频中非法工具（如VPN、电脑病毒、非法软件、非法网站等）相关内容，予以打回，请及时修改
1660014 - 您的（简介）含有不适宜展示的素材（影视、歌曲、人物、游戏等）
1720030 - 根据《网络安全法》等相关法律法规和政策，请及时修改（封面）
1750002 - 根据《网络安全法》等相关法律法规和政策，该视频【00:06:40-00:06:41】不予审核通过
1750002 - 根据《网络安全法》等相关法律法规和政策，该视频【00:22:03-00:22:07】不予审核通过
